Gene	SG1	SG2	SG3
AT1G01010	13.31168831	73.7012987	12.98701299
AT1G01020	40.24390244	45.12195122	14.63414634
AT1G01030	27.99097065	40.18058691	31.82844244
AT1G01040	10.66282421	61.3832853	27.95389049
AT1G01050	37.47157799	26.01182356	36.51659845
AT1G01060	24.91516342	30.92516521	44.15967137
AT1G01080	30.11494253	36.09195402	33.79310345
AT1G01090	37.02720637	24.06547224	38.90732139
AT1G01100	13.66371681	37.38053097	48.95575221
AT1G01110	52.47524752	22.77227723	24.75247525
AT1G01120	20.36205254	55.04287464	24.59507282
AT1G01140	36.67462212	33.54547865	29.77989923
AT1G01160	25.82781457	20.08830022	54.08388521
AT1G01170	30.99943535	38.0717109	30.92885375
AT1G01180	36.64596273	19.8757764	43.47826087
AT1G01220	33.59375	51.5625	14.84375
AT1G01230	39.92248062	25.58139535	34.49612403
AT1G01240	22.11155378	45.3187251	32.56972112
AT1G01250	25.29411765	52.64705882	22.05882353
AT1G01260	31.77189409	37.57637475	30.65173116
AT1G01290	54.25531915	28.19148936	17.55319149
AT1G01300	13.26164875	55.19713262	31.54121864
AT1G01320	30.02832861	39.60339943	30.36827195
AT1G01350	24.61873638	14.81481481	60.5664488
AT1G01360	50.98591549	27.18309859	21.83098592
AT1G01380	23.52941176	40	36.47058824
AT1G01430	43.71047084	24.87702038	31.41250878
AT1G01440	37.59512938	29.37595129	33.02891933
AT1G01470	36.56093489	41.98664441	21.4524207
AT1G01490	23.8013207	43.29600919	32.90267011
AT1G01500	32.69230769	19.23076923	48.07692308
AT1G01510	47.11111111	32.44444444	20.44444444
AT1G02270	17.30474732	29.09647779	53.59877489
AT1G02280	38.36689038	33.89261745	27.74049217
AT1G02290	39.8089172	30.57324841	29.61783439
AT1G02305	40.31393568	15.96477795	43.72128637
AT1G02330	38.0952381	19.84126984	42.06349206
AT1G02340	68.73545384	5.120248254	26.14429791
AT1G02370	28.72340426	48.93617021	22.34042553
AT1G02400	39.0625	25	35.9375
AT1G02420	45.97701149	23.56321839	30.45977011
AT1G02470	42.99516908	27.0531401	29.95169082
AT1G02475	51.02481122	28.04746494	20.92772384
AT1G02500	33.41463415	10.48780488	56.09756098
AT1G02520	14.46280992	64.46280992	21.07438017
AT1G02560	30.77253219	39.31330472	29.91416309
AT1G02610	37.5	30.35714286	32.14285714
AT1G02640	63.64672365	6.267806268	30.08547009
AT1G02660	36.492891	23.69668246	39.81042654
AT1G02740	17.56756757	22.97297297	59.45945946
AT1G02750	28.63187588	42.87729196	28.49083216
AT1G02780	26.85542686	34.96353496	38.18103818
AT1G02816	45.84837545	24.66907341	29.48255114
